hub_name,hub_type,operational_status,street_address,city,country,latitude,longitude,website,email,phone,source,last_verified,data_source,license,notes
Mswitch,Innovation / Tech Hub,Active (Verified),,Gaborone,Botswana,-24.6580003,25.9077037,https://mswitch.co.bw/,info@mswitch.co.bw,2673110000.0,https://mswitch.co.bw/contact-us/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Royal Science and Technology Park-Business Incubator (RSTP),Incubator,Active (Verified),,Gaborone,Botswana,-24.6580003,25.9077037,https://rstp.org.bw/,info@rstp.org.bw,2673631000.0,https://rstp.org.bw/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Burkina Business Incubator,Incubator,Active (Verified),,Ouagadougou,Burkina Faso,12.3919846,-1.4719374,https://burkinabusinessincubator.org/,info@burkinabusinessincubator.org,,https://burkinabusinessincubator.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
"CTID (Centre de Technologie, d’Innovation pour le Developement)",Innovation / Tech Hub,Active (Verified),,Ouagadougou,Burkina Faso,12.3714277,-1.5196603,https://ctidbf.org/,info@ctidbf.org,,https://ctidbf.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Jokkolabs Burkina Faso,University / Research Hub,Active (Verified),,Ouagadougou,Burkina Faso,12.304008,-1.5323135,https://jokkolabs.net/,burkina@jokkolabs.net,,https://jokkolabs.net/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
249Startups,Innovation / Tech Hub,Active (Verified),,Bujumbura,Burundi,-3.361378,29.3598782,https://249startups.bi/,info@249startups.bi,,https://249startups.bi/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Impact Hub Bujumbura,Innovation / Tech Hub,Active (Verified),,Bujumbura,Burundi,-3.3797735,29.3741165,https://bujumbura.impacthub.net/,bujumbura@impacthub.net,,https://bujumbura.impacthub.net/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
InnovaLab,University / Research Hub,Active (Verified),,Bujumbura,Burundi,-3.361378,29.3598782,https://innovalab.bi/,contact@innovalab.bi,,https://innovalab.bi/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
KMR Start-Up HUB,Innovation / Tech Hub,Active (Verified),,Bujumbura,Burundi,-3.361378,29.3598782,https://kmrstartuphub.bi/,info@kmrstartuphub.bi,,https://kmrstartuphub.bi/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
dHUB,Innovation / Tech Hub,Active (Verified),,Bujumbura,Burundi,-3.361378,29.3598782,https://dhub.bi/,info@dhub.bi,,https://dhub.bi/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Muzinda Hub,Innovation / Tech Hub,Active (Verified),,Gitega,Burundi,-3.4272755,29.9246016,https://muzindahub.bi/,info@muzindahub.bi,,https://muzindahub.bi/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Maio Business Center,Innovation / Tech Hub,Active (Verified),,Praia,Cabo Verde,14.919775,-23.5073437,https://maiobusinesscenter.cv/,info@maiobusinesscenter.cv,,https://maiobusinesscenter.cv/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
ActivSpaces,Coworking Space,Active (Verified),,Buea,Cameroon,4.1541279,9.2586315,https://activspaces.com/,info@activspaces.com,,https://activspaces.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Dansyn Innovation Social Organization (Dansyn ISO),Innovation / Tech Hub,Active (Verified),,Buea,Cameroon,4.1534878,9.2533855,https://dansyniso.org/,contact@dansyniso.org,,https://dansyniso.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Jongo Hub,NGO / Foundation,Active (Verified),,Buea,Cameroon,4.155891,9.260871999999999,https://jongohub.com/,info@jongohub.com,,https://jongohub.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
LearnFactory,Innovation / Tech Hub,Active (Verified),,Buea,Cameroon,4.1534878,9.2533855,https://learnfactory.cm/,info@learnfactory.cm,,https://learnfactory.cm/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Mountain Hub,Innovation / Tech Hub,Active (Verified),,Buea,Cameroon,4.1543383,9.2588531,https://mountainhub.cm/,info@mountainhub.cm,,https://mountainhub.cm/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Coriftech Solutions,Innovation / Tech Hub,Active (Verified),,Douala,Cameroon,4.0510564,9.7678687,https://coriftech.com/,info@coriftech.com,,https://coriftech.com/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Happy Smala,Innovation / Tech Hub,Active (Verified),,Douala,Cameroon,4.0510564,9.7678687,https://happysmala.com/,contact@happysmala.com,,https://happysmala.com/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Innova237,Innovation / Tech Hub,Active (Verified),,Douala,Cameroon,4.0995324,9.7474787,https://innova237.com/,info@innova237.com,,https://innova237.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Jokkolabs Cameroon,University / Research Hub,Active (Verified),,Douala,Cameroon,4.0510564,9.7678687,https://jokkolabs.net/,cameroon@jokkolabs.net,,https://jokkolabs.net/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
KMR Start‑Up HUB,Innovation / Tech Hub,Active (Verified),,Douala,Cameroon,4.0510564,9.7678687,https://kmrstartuphub.cm/,info@kmrstartuphub.cm,,https://kmrstartuphub.cm/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Kobo Hub,Innovation / Tech Hub,Active (Verified),,Douala,Cameroon,4.0830454,9.7655551,https://kobohub.org/,info@kobohub.org,,https://kobohub.org/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Youth Business Cameroon (YBC),Innovation / Tech Hub,Active (Verified),,Douala,Cameroon,4.0909624,9.7614938,https://ybcameroon.org/,info@ybcameroon.org,,https://ybcameroon.org/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Le Boukarou,Innovation / Tech Hub,Active (Verified),,Maroua,Cameroon,10.5925289,14.3210095,https://leboukarou.org/,contact@leboukarou.org,,https://leboukarou.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
DKS Incubation Center,Incubator,Active (Verified),,Yaoundé,Cameroon,3.8616853,11.5202292,https://dksincubationcenter.org/,info@dksincubationcenter.org,,https://dksincubationcenter.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
JD Lab,University / Research Hub,Active (Verified),,Yaoundé,Cameroon,3.8616853,11.5202292,https://jdlab.cm/,contact@jdlab.cm,,https://jdlab.cm/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Centrafrique Tech,Innovation / Tech Hub,Active (Verified),,Bangui,Central African Republic,4.362156,18.5827765,https://centrafriquetech.org/,info@centrafriquetech.org,,https://centrafriquetech.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
SCS Afrique Centrale Innov,Innovation / Tech Hub,Active (Verified),,Bangui,Central African Republic,4.362156,18.5827765,https://scsacinnov.org/,info@scsacinnov.org,,https://scsacinnov.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Chad Innovation Hub,Innovation / Tech Hub,Active (Verified),,N'Djamena,Chad,12.1362159,15.0805695,https://chadinnovationhub.org/,info@chadinnovationhub.org,,https://chadinnovationhub.org/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Hub Un Jour Nouveau,Innovation / Tech Hub,Active (Verified),,N'Djamena,Chad,12.1191352,15.0502875,https://hubunjournouveau.td/,contact@hubunjournouveau.td,,https://hubunjournouveau.td/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
ILEY’COM,Innovation / Tech Hub,Active (Verified),,Abidjan,Côte d'Ivoire,5.329076100000001,-3.9338234,https://ileycom.com/,contact@ileycom.com,,https://ileycom.com/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Impact Hub Abidjan,Innovation / Tech Hub,Active (Verified),,Abidjan,Côte d'Ivoire,5.3584375,-3.9750625,https://abidjan.impacthub.net/,abidjan@impacthub.net,,https://abidjan.impacthub.net/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Incub’Ivoir,Innovation / Tech Hub,Active (Verified),Cocody Angré 7ème Tranche,Abidjan,Côte d'Ivoire,5.3873367,-3.9861564,https://incubivoir.ci/,contact@incubivoir.ci,2250707070707.0,https://incubivoir.ci/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Jokkolabs Côte d’Ivoire,University / Research Hub,Active (Verified),,Abidjan,Côte d'Ivoire,5.3252258,-4.019603,https://jokkolabs.net/,abidjan@jokkolabs.net,,https://jokkolabs.net/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
THELIGHT Universe,Innovation / Tech Hub,Active (Verified),,Abidjan,Côte d'Ivoire,5.329076100000001,-3.9338234,https://thelightuniverse.com/,info@thelightuniverse.com,,https://thelightuniverse.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
KivuHub,Innovation / Tech Hub,Active (Verified),,Goma,DR Congo,-1.658501,29.2204548,https://kivuhub.org/,info@kivuhub.org,,https://kivuhub.org/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
MUSODEV,Innovation / Tech Hub,Active (Verified),,Goma,DR Congo,-1.658501,29.2204548,https://musodev.org/,contact@musodev.org,,https://musodev.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Kinshasa Digital,Innovation / Tech Hub,Active (Verified),,Kinshasa,DR Congo,-4.3743245,15.3379571,https://kinshasadigital.com/,info@kinshasadigital.com,,https://kinshasadigital.com/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Lumumba Labs,University / Research Hub,Active (Verified),,Kinshasa,DR Congo,-4.3597727,15.3279486,https://lumumbalabs.org/,info@lumumbalabs.org,,https://lumumbalabs.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Silikin Village,Innovation / Tech Hub,Active (Verified),,Kinshasa,DR Congo,-4.321422099999999,15.2754746,https://silikinvillage.org/,info@silikinvillage.org,,https://silikinvillage.org/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Centre d’innovation de Lubumbashi,Innovation / Tech Hub,Active (Verified),,Lubumbashi,DR Congo,-11.6744098,27.479604,https://cilubumbashi.org/,info@cilubumbashi.org,,https://cilubumbashi.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Kosala,Innovation / Tech Hub,Active (Verified),,Lubumbashi,DR Congo,-11.6876026,27.5026174,https://kosala.tech/,info@kosala.tech,,https://kosala.tech/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Startup Factory Djibouti,Innovation / Tech Hub,Active (Verified),,Djibouti City,Djibouti,11.5912458,43.1510581,https://startupfactorydjibouti.com/,info@startupfactorydjibouti.com,,https://startupfactorydjibouti.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Ice Alex,Innovation / Tech Hub,Active (Verified),Alexandria Business Association Building,Alexandria,Egypt,31.1983203,29.9062118,https://icealex.org/,info@icealex.org,,https://icealex.org/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
IceAlex,Innovation / Tech Hub,Active (Verified),Alexandria Business Association Building,Alexandria,Egypt,31.1983203,29.9062118,https://icealex.org/,info@icealex.org,,https://icealex.org/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Universite Senghor (University) & I’AUF,University / Research Hub,Active (Verified),,Alexandria,Egypt,31.1992951,29.8938421,https://www.usenghor.org/,info@usenghor.org,,https://www.usenghor.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Dreams Hub Research and Innovation Center,University / Research Hub,Active (Verified),,Aswan,Egypt,24.088938,32.8998293,https://dreamshub.org/,info@dreamshub.org,,https://dreamshub.org/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Dreams Tech Hub,Innovation / Tech Hub,Active (Verified),,Aswan,Egypt,24.088938,32.8998293,https://dreamstechhub.com/,info@dreamstechhub.com,,https://dreamstechhub.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
AUC Venture Lab,University / Research Hub,Active (Verified),"American University in Cairo, New Cairo",Cairo,Egypt,30.0190082,31.4995316,https://www.aucegypt.edu/research/venture-lab,venturelab@aucegypt.edu,20226150000.0,https://www.aucegypt.edu/research/venture-lab,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Aria Ventures,Accelerator,Active (Verified),,Cairo,Egypt,30.0438007,31.2385694,https://ariaventures.com/,info@ariaventures.com,,https://ariaventures.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Artificial Intelligence Hub,Innovation / Tech Hub,Active (Verified),,Cairo,Egypt,30.0444196,31.2357116,https://aihubegypt.com/,info@aihubegypt.com,,https://aihubegypt.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Cairo Hackerspace,Coworking Space,Active (Verified),,Cairo,Egypt,30.0444196,31.2357116,https://cairohackerspace.org/,info@cairohackerspace.org,,https://cairohackerspace.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Cloud Coworking & Athar Accelerator,Accelerator,Active (Verified),,Cairo,Egypt,30.0444196,31.2357116,https://cloudcoworking.space/,info@cloudcoworking.space,,https://cloudcoworking.space/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Coworky,Coworking Space,Active (Verified),,Cairo,Egypt,30.0845019,31.3413935,https://coworky.com/,info@coworky.com,,https://coworky.com/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
DigiArtLivingLab- DALL,University / Research Hub,Active (Verified),"Goethe Institut, Bab El Louk",Cairo,Egypt,30.0458301,31.23640779999999,https://dall.eg/,info@dall.eg,,https://dall.eg/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
EgyptInnovate Platform,Innovation / Tech Hub,Active (Verified),Ministry of Communications and Information Technology,Cairo,Egypt,30.1278585,31.308519,https://egyptinnovate.com/,support@egyptinnovate.com,,https://egyptinnovate.com/about/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Ennovate Lab,University / Research Hub,Active (Verified),,Cairo,Egypt,30.0551727,31.2445054,https://ennovatelab.com/,info@ennovatelab.com,,https://ennovatelab.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Ennovate Ventures,Accelerator,Active (Verified),,Cairo,Egypt,30.0444196,31.2357116,https://ennovate.ventures/,info@ennovate.ventures,,https://ennovate.ventures/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Entrepreneurship Center of Social Impact – ECSI (Heliopolis University),University / Research Hub,Active (Verified),"Heliopolis University Campus, El Salam City",Cairo,Egypt,30.1718424,31.406452,https://hu.edu.eg/innovation/,innovation@hu.edu.eg,20226900000.0,https://hu.edu.eg/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Flat6Labs,University / Research Hub,Active (Verified),,Cairo,Egypt,30.0219634,31.2170111,https://flat6labs.com/,info@flat6labs.com,,https://flat6labs.com/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
GESR-MEK Cairo,Innovation / Tech Hub,Active (Verified),,Cairo,Egypt,30.0755393,31.2519885,https://gesrmek.org/,info@gesrmek.org,,https://gesrmek.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Hub One,Innovation / Tech Hub,Active (Verified),,Cairo,Egypt,30.0444196,31.2357116,https://huboneegypt.com/,info@huboneegypt.com,,https://huboneegypt.com/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Impact Tank,Innovation / Tech Hub,Active (Verified),,Cairo,Egypt,30.0644891,31.2160129,https://impacttank.org/,info@impacttank.org,,https://impacttank.org/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Mahna,Innovation / Tech Hub,Active (Verified),,Cairo,Egypt,30.0444196,31.2357116,https://mahna.org/,info@mahna.org,,https://mahna.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Parotech,Innovation / Tech Hub,Active (Verified),,Cairo,Egypt,30.0444196,31.2357116,https://parotech.com/,info@parotech.com,,https://parotech.com/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Renaissance Innovation Lab,University / Research Hub,Active (Verified),,Cairo,Egypt,30.0611917,31.27520449999999,https://renaissanceil.com/,info@renaissanceil.com,,https://renaissanceil.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
RiseUp Social Enterprise,Innovation / Tech Hub,Active (Verified),,Cairo,Egypt,29.9586569,31.2593729,https://riseupsummit.com/,info@riseupsummit.com,,https://riseupsummit.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
San3a Tech – Fab Lab Egypt,University / Research Hub,Active (Verified),,Cairo,Egypt,29.959042,31.252972,https://san3atech.com/,info@san3atech.com,,https://san3atech.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Sprints,Innovation / Tech Hub,Active (Verified),,Cairo,Egypt,30.0665664,31.2516677,https://sprints.ai/,info@sprints.ai,,https://sprints.ai/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Startup Factory,Innovation / Tech Hub,Active (Verified),,Cairo,Egypt,30.0444196,31.2357116,https://startupfactoryegypt.com/,info@startupfactoryegypt.com,,https://startupfactoryegypt.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Tatweer Research,University / Research Hub,Active (Verified),,Cairo,Egypt,30.0821756,31.2762844,https://tatweerresearch.org/,info@tatweerresearch.org,,https://tatweerresearch.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Youthinkgreen Egypt,Innovation / Tech Hub,Active (Verified),,Cairo,Egypt,30.0556963,31.3532247,https://www.youthinkgreen.org/,info@youthinkgreen.org,,https://www.youthinkgreen.org/contact,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Tamkeen Centers,Innovation / Tech Hub,Active (Verified),,Multiple,Egypt,26.820553,30.802498,https://tamkeen.com.eg/,info@tamkeen.com.eg,,https://tamkeen.com.eg/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
GREENLIVES,Innovation / Tech Hub,Active (Verified),,Malabo,Equatorial Guinea,3.7549606,8.7821344,https://greenliveshub.org/,info@greenliveshub.org,,https://greenliveshub.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
IDENTIC Foundacion,NGO / Foundation,Active (Verified),,Malabo,Equatorial Guinea,3.7395863,8.7304592,https://identicfoundation.org/,contact@identicfoundation.org,,https://identicfoundation.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
IDENTIC Fundacion,Innovation / Tech Hub,Active (Verified),,Malabo,Equatorial Guinea,3.7395863,8.7304592,https://identic.org/,info@identic.org,,https://identic.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
LPC Space (Espacio Locos por Cultura),Coworking Space,Active (Verified),,Malabo,Equatorial Guinea,3.7570568,8.7995623,https://lpcspace.org/,info@lpcspace.org,,https://lpcspace.org/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Tomruk iHub,Innovation / Tech Hub,Active (Verified),,Asmara,Eritrea,15.3317304,38.9300394,https://tomrukihub.org/,info@tomrukihub.org,,https://tomrukihub.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
ACity Technology & Entrepreneurship Foundation,NGO / Foundation,Active (Verified),,Addis Ababa,Ethiopia,9.0191936,38.7524635,https://acityfoundation.org/,info@acityfoundation.org,,https://acityfoundation.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
AFRICA TECH SPACE,Coworking Space,Active (Verified),,Addis Ababa,Ethiopia,9.0191936,38.7524635,https://africatechspace.org/,contact@africatechspace.org,,https://africatechspace.org/about/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Beehive Incubator & Coworking,Incubator,Active (Verified),,Addis Ababa,Ethiopia,9.0191936,38.7524635,https://beehiveethiopia.com/,info@beehiveethiopia.com,,https://beehiveethiopia.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Business Incubation Center (BIC),Incubator,Active (Verified),,Addis Ababa,Ethiopia,8.9946939,38.7906507,https://bicethiopia.org/,info@bicethiopia.org,,https://bicethiopia.org/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Close The Gap Hub,Innovation / Tech Hub,Active (Verified),,Addis Ababa,Ethiopia,9.0191936,38.7524635,https://closethegaphub.org/,info@closethegaphub.org,,https://closethegaphub.org/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
DICOS Incubator LLP,Incubator,Active (Verified),,Addis Ababa,Ethiopia,9.0191936,38.7524635,https://dicosincubator.com/,info@dicosincubator.com,,https://dicosincubator.com/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
EnovateLab,University / Research Hub,Active (Verified),,Addis Ababa,Ethiopia,9.0191936,38.7524635,https://enovatelab.org/,info@enovatelab.org,,https://enovatelab.org/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
EtriLabs,University / Research Hub,Active (Verified),,Addis Ababa,Ethiopia,9.0191936,38.7524635,https://etrilabs.com/,info@etrilabs.com,,https://etrilabs.com/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Green Impact Technologies,Innovation / Tech Hub,Active (Verified),,Addis Ababa,Ethiopia,9.0191936,38.7524635,https://greenimpacttech.org/,info@greenimpacttech.org,,https://greenimpacttech.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Hardware Innovation Valley Community,Makerspace / FabLab,Active (Verified),,Addis Ababa,Ethiopia,9.0191936,38.7524635,https://hivc.africa/,info@hivc.africa,,https://hivc.africa/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
IMPACT Lab,University / Research Hub,Active (Verified),,Addis Ababa,Ethiopia,9.0191936,38.7524635,https://impactlabethiopia.org/,contact@impactlabethiopia.org,,https://impactlabethiopia.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Iceaddis,Innovation / Tech Hub,Active (Verified),,Addis Ababa,Ethiopia,8.995396099999999,38.7928879,https://iceaddis.com/,info@iceaddis.com,,https://iceaddis.com/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Siyon Capital,Innovation / Tech Hub,Active (Verified),,Addis Ababa,Ethiopia,9.0191936,38.7524635,https://siyoncapital.com/,info@siyoncapital.com,,https://siyoncapital.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Softstart Business and Technology Incubator,Incubator,Active (Verified),,Addis Ababa,Ethiopia,9.0191936,38.7524635,https://softstartbtincubator.com/,info@softstartbtincubator.com,,https://softstartbtincubator.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Startup Factory Ethiopia,Innovation / Tech Hub,Active (Verified),,Addis Ababa,Ethiopia,9.000066499999999,38.7703183,https://startupfactory.et/,info@startupfactory.et,,https://startupfactory.et/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
United Advance Development,Innovation / Tech Hub,Active (Verified),,Addis Ababa,Ethiopia,9.0191936,38.7524635,https://uadethiopia.org/,info@uadethiopia.org,,https://uadethiopia.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
